Ideologia,Fecha_Disolucion,Fecha_Fundacion,Ciudad_Sede,Provincia_Sede,Pais_Sede,Continente_Sede,Sitio_Web
CentroIzquierda,2014,1982,Guayaquil,Guayas,Ecuador,América,www.dalobucaram.com
CentroIzquierda,2013,1970,Quito,Pichincha,Ecuador,América,http://izquierdademocratica.com/
CentroDerecha,2012,2007,Quito,Pichincha,Ecuador,América,http://www.concertacion.org/
Centro,2014,2004,Quito,Pichincha,Ecuador,América,www.ruptura25.org
Derecha,-----,1951,Quito,Pichincha,Ecuador,América,http://la6.ec
Izquierda,-----,1926,Quito,Pichincha,Ecuador,América,http://psfaecuador.org
Izquierda,2017,2016,Quito,Pichincha,Ecuador,América,http://pacomoncayo.com/
CentroDerecha,-----,2016,Guayaquil,Guayas,Ecuador,América,http://www.adelanteecuatorianoadelante.com/
Izquierda,2014,1978,Quito,Pichincha,Ecuador,América,http://www.mpd15.org.ec/
CentroDerecha,1978,1878,Quito,Pichincha,Ecuador,América,-----
Centro,2013,2005,Quito,Pichincha,Ecuador,América,-----
Centro,2014,2002,Guayaquil,Guayas,Ecuador,América,http://www.alvaronoboaprian.com/
Izquierda,-----,1929,Quito,Pichincha,Ecuador,América,http://www.pcecuador.org
Izquierda,-----,1964,Quito,Pichincha,Ecuador,América,http://www.pcmle.org/
CentroIzquierda,2007,1997,Guayaquil,Guayas,Ecuador,América,-----
Centro,2013,2006,Guayaquil,Guayas,Ecuador,América,-----
Izquierda,2007,1972,Quito,Pichincha,Ecuador,América,-----
CentroDerecha,2013,1977,Quito,Pichincha,Ecuador,América,http://www.udc.com.ec
Izquierda,-----,1926,Quito,Pichincha,Ecuador,América,http://pcecuador.org
Izquierda,2012,1949,Guayaquil,Guayas,Ecuador,América,-----
Derecha,1977,1869,Quito,Pichincha,Ecuador,América,-----
Derecha,-----,2012,Guayaquil,Guayas,Ecuador,América,www.creo.com.ec
CentroIzquierda,-----,2006,Quito,Pichincha,Ecuador,América,http://www.movimientoalianzapais.com.ec/
Centro,-----,2002,Quito,Pichincha,Ecuador,América,http://partidosociedadpatriotica.com/
CentroIzquierda,-----,2012,Guayaquil,Guayas,Ecuador,América,https://www.centrodemocratico.org/
Centro,-----,2015,Guayaquil,Guayas,Ecuador,América,http://fuerza.ec
CentroDerecha,-----,2012,Quito,Pichincha,Ecuador,América,http://suma.ec
Izquierda,-----,2014,Quito,Pichincha,Ecuador,América,-----
Izquierda,2016,2015,-----,-----,Ecuador,-----,-----
Izquierda,-----,2014,-----,-----,Ecuador,-----,-----
Izquierda,2014,2011,-----,-----,Ecuador,-----,-----
Derecha,-----,2009,Guayaquil,Guayas,Ecuador,América,-----
Izquierda,-----,1995,Quito,Pichincha,Ecuador,América,http://pachakutik.org/
Izquierda,2017,2016,Guayaquil,Guayas,Ecuador,América,-----
